WT_VALUE01,WT_VALUE02,WT_VALUE03,CR_VALUE01,CR_VALUE02,CR_VALUE03,REPLAY_ATTACK,COMMAND_INJECTION,NORMAL_STATE
248,253,259,0,0,0,0,0,1
230,226,223,1,0,0,0,0,1
220,220,221,0,0,0,0,0,1
226,230,235,0,0,0,0,0,1
247,253,259,0,0,0,0,0,1
271,277,283,0,0,0,0,0,1
295,301,307,0,0,0,0,0,1
319,325,331,0,0,0,0,0,1
343,349,355,0,0,0,0,0,1
364,367,369,1,1,1,0,0,1
370,369,367,1,1,1,0,0,1
360,355,350,1,1,1,0,0,1
340,335,330,1,1,1,0,0,1
320,315,310,1,1,1,0,0,1
300,295,290,1,1,1,0,0,1
280,275,270,1,1,1,0,0,1
260,255,250,1,1,1,0,0,1
243,241,240,0,0,0,0,0,1
241,243,246,0,0,0,0,0,1
255,261,267,0,0,0,0,0,1
279,285,291,0,0,0,0,0,1
303,309,315,0,0,0,0,0,1
327,333,339,0,0,0,0,0,1
351,356,360,0,1,1,0,0,1
365,366,366,1,1,1,0,0,1
363,360,356,1,1,1,0,0,1
346,341,336,1,1,1,0,0,1
326,321,316,1,1,1,0,0,1
306,301,296,1,1,1,0,0,1
286,281,276,1,1,1,0,0,1
266,261,256,1,1,1,0,0,1
246,242,239,1,0,0,0,0,1
236,236,237,0,0,0,0,0,1
242,246,251,0,0,0,0,0,1
263,269,275,0,0,0,0,0,1
287,293,299,0,0,0,0,0,1
311,317,323,0,0,0,0,0,1
335,341,347,0,0,0,0,0,1
358,362,365,1,1,1,0,0,1
368,368,367,1,1,1,0,0,1
362,358,353,1,1,1,0,0,1
343,338,333,1,1,1,0,0,1
323,318,313,1,1,1,0,0,1
303,298,293,1,1,1,0,0,1
283,278,273,1,1,1,0,0,1
263,258,253,1,1,1,0,0,1
244,241,239,0,0,0,0,0,1
238,239,241,0,0,0,0,0,1
248,253,259,0,0,0,0,0,1
271,277,283,0,0,0,0,0,1
295,301,307,0,0,0,0,0,1
319,325,331,0,0,0,0,0,1
343,349,355,0,0,0,0,0,1
364,367,369,1,1,1,0,0,1
370,369,367,1,1,1,0,0,1
360,360,355,1,1,1,0,0,1
345,340,335,1,1,1,0,0,1
325,320,315,1,1,1,0,0,1
305,300,295,1,1,1,0,0,1
285,280,275,1,1,1,0,0,1
265,260,255,1,1,1,0,0,1
246,243,241,0,0,0,0,0,1
240,241,243,0,0,0,0,0,1
250,255,261,0,0,0,0,0,1
273,279,285,0,0,0,0,0,1
297,303,309,0,0,0,0,0,1
321,327,333,0,0,0,0,0,1
345,351,356,0,0,1,0,0,1
363,365,366,1,1,1,0,0,1
365,363,360,1,1,1,0,0,1
351,346,341,1,1,1,0,0,1
331,326,321,1,1,1,0,0,1
311,306,301,1,1,1,0,0,1
291,286,281,1,1,1,0,0,1
271,266,261,1,1,1,0,0,1
251,246,242,1,1,0,0,0,1
237,236,236,0,0,0,0,0,1
239,242,246,0,0,0,0,0,1
257,263,269,0,0,0,0,0,1
281,287,293,0,0,0,0,0,1
305,311,317,0,0,0,0,0,1
329,335,341,0,0,0,0,0,1
353,358,362,0,1,1,0,0,1
367,368,368,1,1,1,0,0,1
365,362,358,1,1,1,0,0,1
348,343,338,1,1,1,0,0,1
328,323,318,1,1,1,0,0,1
308,303,298,1,1,1,0,0,1
288,283,278,1,1,1,0,0,1
268,263,258,1,1,1,0,0,1
248,244,241,1,0,0,0,0,1
238,238,239,0,0,0,0,0,1
244,248,253,0,0,0,0,0,1
265,271,277,0,0,0,0,0,1
289,295,301,0,0,0,0,0,1
313,319,325,0,0,0,0,0,1
337,343,349,0,0,0,0,0,1
249,249,250,0,0,0,0,1,0
255,259,264,1,1,1,0,1,0
276,282,288,1,1,1,0,1,0
300,306,312,1,1,1,0,1,0
324,330,336,1,1,1,0,1,0
348,354,360,1,1,1,0,1,0
372,378,384,1,1,1,0,1,0
396,402,408,1,1,1,0,1,0
420,426,432,1,1,1,0,1,0
444,450,456,1,1,1,0,1,0
468,474,480,1,1,1,0,1,0
492,498,504,1,1,1,0,1,0
516,522,528,1,1,1,0,1,0
540,546,552,1,1,1,0,1,0
564,570,576,1,1,1,0,1,0
588,594,600,1,1,1,0,1,0
612,618,624,1,1,1,0,1,0
636,642,648,1,1,1,0,1,0
660,666,672,1,1,1,0,1,0
684,690,696,1,1,1,0,1,0
696,696,696,1,1,1,0,1,0
696,696,696,1,1,1,0,1,0
696,696,696,1,1,1,0,1,0
696,696,696,1,0,1,0,1,0
700,700,700,1,1,1,0,1,0
180,176,173,1,0,0,0,1,0
170,170,171,0,0,0,0,1,0
176,180,185,0,0,0,0,1,0
197,203,209,0,0,0,0,1,0
227,233,239,1,1,1,0,1,0
251,257,263,1,1,1,0,1,0
275,281,287,1,1,1,0,1,0
299,305,311,1,1,1,0,1,0
323,329,335,1,1,1,0,1,0
347,353,359,1,1,1,0,1,0
371,377,383,1,1,1,0,1,0
395,401,407,1,1,1,0,1,0
419,425,431,1,1,1,0,1,0
443,449,455,1,1,1,0,1,0
467,473,479,1,1,1,0,1,0
485,491,497,1,1,1,0,1,0
509,515,521,1,1,1,0,1,0
533,539,545,1,1,1,0,1,0
557,563,569,1,1,1,0,1,0
581,587,593,1,1,1,0,1,0
605,611,617,1,1,1,0,1,0
629,635,641,1,1,1,0,1,0
653,659,665,1,1,1,0,1,0
677,683,689,1,1,1,0,1,0
695,695,695,1,1,1,0,1,0
695,695,700,1,0,1,0,1,0
95,91,88,1,0,1,0,1,0
85,85,86,1,1,1,0,1,0
91,95,100,1,1,1,0,1,0
112,118,124,1,1,1,0,1,0
136,142,148,1,1,1,0,1,0
160,166,172,1,1,1,0,1,0
184,190,196,1,1,1,0,1,0
208,214,220,1,1,1,0,1,0
232,238,244,1,1,1,0,1,0
256,262,268,1,1,1,0,1,0
280,286,292,1,1,1,0,1,0
304,310,316,1,1,1,0,1,0
328,334,340,1,1,1,0,1,0
352,358,364,1,1,1,0,1,0
376,382,388,1,1,1,0,1,0
400,406,412,1,1,1,0,1,0
424,430,436,1,1,1,0,1,0
448,454,460,1,1,1,0,1,0
472,478,484,1,1,1,0,1,0
496,502,508,1,1,1,0,1,0
520,526,532,1,1,1,0,1,0
544,550,556,1,1,1,0,1,0
568,574,580,1,1,1,0,1,0
592,598,604,1,1,1,0,1,0
616,622,628,1,1,1,0,1,0
640,646,652,1,1,1,0,1,0
249,249,250,0,0,0,1,0,0
330,325,320,0,0,0,1,0,0
276,305,300,0,0,0,1,0,0
290,306,280,0,0,0,1,0,0
270,265,336,0,0,0,1,0,0
250,246,243,0,0,0,1,0,0
240,240,241,1,0,0,1,0,0
395,330,325,0,1,1,1,0,0
315,410,305,1,1,1,1,0,0
295,290,400,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
356,240,240,0,1,0,1,0,0
243,351,330,0,0,1,1,0,0
320,315,341,1,1,1,1,0,0
300,295,290,1,1,1,1,0,0
280,275,270,1,1,1,1,0,0
291,255,250,1,1,1,1,0,0
243,272,240,0,0,0,1,0,0
241,243,277,0,0,0,1,0,0
325,320,315,0,0,0,1,0,0
305,300,295,0,0,0,1,0,0
334,280,275,0,0,0,1,0,0
265,364,255,0,0,1,1,0,0
246,243,390,0,0,0,1,0,0
240,241,243,0,0,0,1,0,0
330,325,320,1,1,1,1,0,0
434,305,300,1,1,1,1,0,0
290,424,280,1,1,1,1,0,0
270,265,399,1,1,1,1,0,0
250,246,243,1,0,0,1,0,0
240,240,241,1,0,0,1,0,0
375,330,325,0,1,1,1,0,0
315,365,305,1,1,1,1,0,0
295,290,340,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
296,240,240,0,0,0,1,0,0
243,301,330,0,0,0,1,0,0
320,315,328,0,0,0,1,0,0
300,295,290,0,0,0,1,0,0
280,275,270,1,1,1,1,0,0
373,255,250,1,1,1,1,0,0
243,375,240,0,0,1,1,0,0
241,243,390,0,0,0,1,0,0
325,320,315,1,1,1,1,0,0
305,300,295,1,1,1,1,0,0
385,280,275,1,1,1,1,0,0
265,360,255,1,1,1,1,0,0
246,243,341,0,0,0,1,0,0
240,241,243,0,0,0,1,0,0
330,325,320,0,0,0,1,0,0
373,305,300,0,1,1,1,0,0
290,388,280,1,1,1,1,0,0
270,265,378,1,1,1,1,0,0
250,246,243,1,0,0,1,0,0
240,240,241,1,0,0,1,0,0
354,330,325,0,1,1,1,0,0
315,344,305,1,1,1,1,0,0
295,290,319,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
275,240,240,0,0,0,1,0,0
243,280,330,0,0,0,1,0,0
320,315,307,0,0,0,1,0,0
